species,species_code,elevation,soil_code,sepal_length,sepal_width,petal_length,petal_width,petal_curvature_mm,leaf_area_cm2
setosa,0,64.0,1,5.22,3.05,1.8,0.27,5.11,50.11
setosa,0,85.5,2,5.3,2.59,1.58,0.16,4.95,39.78
setosa,0,63.2,2,5.11,2.96,1.66,0.37,5.62,43.41
setosa,0,206.5,1,4.99,3.45,1.61,0.27,4.87,53.05
setosa,0,63.6,1,5.26,3.47,1.62,0.26,5.64,51.89
setosa,0,259.1,0,5.69,3.43,1.67,0.49,4.95,58.77
setosa,0,178.0,0,5.71,3.43,1.58,0.37,4.57,56.71
setosa,0,181.8,1,4.16,3.13,1.36,0.24,5.34,48.85
setosa,0,190.4,2,5.05,3.49,1.37,0.25,4.85,52.36
setosa,0,92.7,1,4.88,3.61,1.81,0.25,5.31,48.42
setosa,0,99.4,0,5.72,3.68,1.19,0.5,3.64,60.27
setosa,0,129.7,2,5.27,3.32,1.32,0.36,5.0,55.75
setosa,0,198.4,2,4.91,2.8,1.29,0.14,4.77,50.85
setosa,0,102.5,0,4.86,3.63,1.45,0.35,4.47,51.0
setosa,0,79.1,1,5.55,3.01,1.7,0.31,4.72,57.22
setosa,0,292.5,1,5.05,3.14,1.07,0.47,4.71,52.9
setosa,0,55.5,1,5.73,3.52,1.98,0.32,4.98,57.79
setosa,0,250.7,0,4.74,4.15,1.7,0.41,4.32,39.03
setosa,0,247.0,2,4.59,3.15,1.6,0.38,5.16,52.31
setosa,0,124.3,0,4.82,2.91,1.85,0.19,5.68,47.42
setosa,0,83.9,1,5.84,3.44,1.59,0.39,5.14,58.78
setosa,0,86.4,0,4.66,3.72,1.92,0.27,5.4,57.73
setosa,0,224.4,2,4.18,2.86,1.5,0.33,5.55,50.16
setosa,0,210.7,0,5.08,3.38,1.3,0.47,5.62,57.68
setosa,0,245.7,1,4.93,3.76,1.42,0.34,5.94,58.92
setosa,0,284.4,2,4.72,2.64,1.34,0.25,4.75,50.37
setosa,0,223.0,0,4.78,3.31,1.46,0.28,4.64,62.36
setosa,0,89.0,0,4.93,3.81,1.94,0.35,5.39,49.84
setosa,0,110.9,2,5.42,3.16,1.55,0.27,5.35,48.93
setosa,0,260.5,2,4.82,2.15,1.36,0.29,5.39,54.33
setosa,0,102.3,1,5.88,3.26,1.39,0.44,5.94,48.23
setosa,0,68.1,2,6.36,3.16,1.7,0.26,5.01,50.43
setosa,0,225.8,1,4.39,3.53,1.48,0.28,5.21,57.05
setosa,0,150.6,0,4.67,3.24,1.4,0.12,4.51,50.1
setosa,0,280.0,1,4.84,4.07,1.9,0.4,6.07,41.52
setosa,0,212.6,0,5.46,3.91,1.49,0.25,4.83,51.84
setosa,0,72.6,2,4.88,2.49,1.4,0.2,4.85,46.52
setosa,0,287.0,0,4.45,4.1,1.57,0.55,4.83,54.33
setosa,0,114.6,2,5.07,2.73,1.51,0.2,4.68,53.48
setosa,0,134.3,0,5.46,3.81,1.61,0.27,4.64,57.36
setosa,0,150.6,0,4.73,4.04,1.41,0.26,4.74,54.54
setosa,0,62.8,0,5.28,4.12,1.53,0.27,4.32,55.45
setosa,0,174.1,0,4.65,3.95,1.13,0.34,4.61,46.65
setosa,0,80.8,1,4.7,3.54,1.55,0.25,5.97,54.02
setosa,0,150.2,0,5.18,3.11,1.56,0.33,5.37,59.84
setosa,0,137.7,1,4.97,3.33,1.54,0.21,5.46,46.56
setosa,0,243.2,2,5.29,2.68,1.49,0.26,5.59,59.0
setosa,0,250.8,2,5.06,3.26,1.77,0.17,5.92,47.25
setosa,0,88.4,1,5.41,3.3,1.0,0.18,4.11,45.74
setosa,0,141.6,2,5.3,2.98,1.62,0.18,4.39,51.48
setosa,0,143.3,2,5.42,2.81,1.72,0.3,4.6,53.58
setosa,0,87.9,0,5.45,3.49,1.45,0.31,4.77,54.56
setosa,0,249.6,0,5.17,3.61,1.49,0.48,4.85,45.19
setosa,0,226.8,0,4.21,3.38,1.73,0.26,4.78,52.17
setosa,0,97.6,1,5.27,4.14,1.24,0.29,5.11,46.57
setosa,0,141.7,1,5.48,2.54,1.66,0.22,5.02,42.56
setosa,0,76.5,2,4.68,3.17,1.61,0.24,4.64,45.36
setosa,0,207.1,0,5.11,4.76,1.46,0.2,3.91,46.25
setosa,0,80.3,1,5.12,3.04,1.56,0.3,4.5,52.61
setosa,0,296.5,1,4.96,3.21,1.53,0.27,4.73,55.76
setosa,0,245.2,0,5.2,3.6,1.5,0.33,4.88,42.63
setosa,0,147.6,1,5.11,3.54,1.5,0.19,4.44,51.76
setosa,0,194.6,0,5.18,4.22,1.64,0.16,4.75,44.12
setosa,0,277.8,2,4.64,2.54,1.46,0.39,4.43,53.15
setosa,0,188.5,2,5.09,2.8,1.19,0.31,4.94,46.89
setosa,0,93.6,2,6.15,2.85,1.55,0.13,4.46,44.74
setosa,0,144.7,0,5.43,3.83,1.59,0.38,4.58,54.0
setosa,0,260.8,1,5.54,3.91,1.21,0.32,4.35,47.07
setosa,0,211.1,2,4.55,2.83,1.73,0.2,4.92,48.42
setosa,0,212.7,2,4.25,3.37,1.39,0.26,4.57,38.9
setosa,0,266.7,2,4.56,2.47,1.48,0.29,5.45,54.73
setosa,0,273.5,1,4.48,2.95,1.54,0.4,5.2,54.1
setosa,0,279.9,1,4.84,2.79,1.34,0.45,4.97,50.03
setosa,0,73.7,0,4.21,3.6,1.46,0.25,4.6,42.36
setosa,0,186.0,2,5.58,3.41,1.48,0.35,5.19,56.05
setosa,0,235.1,1,5.77,3.38,1.46,0.2,5.35,46.67
setosa,0,239.2,0,4.96,3.68,1.53,0.29,5.07,47.73
setosa,0,201.7,2,4.95,2.75,1.54,0.29,5.8,61.56
setosa,0,91.7,1,5.16,3.93,1.5,0.28,5.23,46.48
setosa,0,249.4,1,5.35,2.62,1.04,0.44,5.46,53.71
setosa,0,230.0,0,4.43,3.35,1.5,0.27,5.07,52.81
setosa,0,71.5,2,5.61,3.28,1.34,0.44,5.34,51.95
setosa,0,166.0,2,4.73,2.98,1.51,0.18,4.6,51.41
setosa,0,93.5,1,5.15,3.19,1.3,0.35,4.77,51.88
setosa,0,134.4,2,5.14,3.24,1.73,0.3,5.17,51.36
setosa,0,54.5,0,5.48,3.63,1.43,0.38,5.17,49.74
setosa,0,150.1,1,5.25,3.3,1.54,0.25,5.25,57.56
setosa,0,187.5,1,4.61,2.82,1.33,0.42,5.55,43.44
setosa,0,204.9,0,4.49,4.5,1.2,0.35,4.29,55.11
setosa,0,215.9,1,4.99,3.35,1.17,0.38,4.51,54.11
setosa,0,259.1,2,4.92,3.18,1.37,0.32,5.11,53.49
setosa,0,103.9,2,5.17,3.05,1.57,0.29,4.64,55.58
setosa,0,80.1,1,4.74,3.75,1.89,0.22,6.69,49.54
setosa,0,262.9,0,4.86,3.89,1.53,0.27,5.26,40.66
setosa,0,89.2,0,5.33,3.37,1.52,0.24,4.96,49.64
setosa,0,293.7,2,5.25,3.15,1.54,0.09,4.74,45.04
setosa,0,260.6,0,5.47,4.1,1.5,0.38,4.76,46.34
setosa,0,175.2,1,4.65,3.33,1.12,0.16,5.02,43.79
setosa,0,295.4,1,4.95,3.12,1.6,0.22,5.06,47.61
setosa,0,74.3,2,4.88,2.43,1.47,0.11,4.77,47.02
setosa,0,125.8,2,4.79,3.67,1.33,0.26,4.86,38.11
setosa,0,209.6,2,4.63,3.14,1.63,0.32,5.67,53.5
setosa,0,137.5,0,6.28,3.79,1.62,0.41,5.69,61.1
setosa,0,282.1,1,4.9,4.05,1.61,0.3,5.13,53.03
setosa,0,66.4,1,5.51,3.18,1.36,0.42,4.33,48.99
setosa,0,187.4,1,5.1,2.76,1.67,0.34,5.27,49.73
setosa,0,197.7,2,4.86,3.01,1.38,0.28,5.78,47.9
setosa,0,213.2,1,5.04,3.53,1.49,0.24,5.68,50.45
setosa,0,113.9,0,5.55,3.93,1.74,0.43,5.37,49.81
setosa,0,141.1,0,5.35,3.82,1.69,0.16,5.71,45.79
setosa,0,260.9,1,4.58,3.75,1.53,0.23,5.03,58.41
setosa,0,98.7,2,5.24,2.85,1.57,0.28,5.31,42.56
setosa,0,256.7,1,4.95,3.27,1.69,0.23,4.66,53.59
setosa,0,190.7,0,4.96,3.45,1.49,0.26,5.15,49.49
setosa,0,240.5,0,4.9,3.68,1.8,0.33,5.66,59.5
setosa,0,228.4,0,5.25,3.17,1.7,0.34,4.71,51.7
setosa,0,101.9,1,5.26,3.82,1.6,0.33,4.57,48.2
setosa,0,192.2,0,5.67,3.62,1.38,0.45,5.05,48.76
setosa,0,266.9,2,5.45,2.77,1.45,0.32,4.89,50.2
setosa,0,158.0,1,4.39,3.06,1.44,0.26,5.32,44.29
setosa,0,291.6,1,4.85,3.58,1.26,0.24,4.77,46.17
setosa,0,163.1,0,5.19,3.5,1.8,0.23,5.86,41.08
setosa,0,85.7,0,4.81,3.93,1.58,0.29,4.36,45.39
setosa,0,147.4,2,5.39,3.81,1.71,0.32,5.63,50.47
setosa,0,287.9,1,4.7,3.31,1.44,0.22,4.62,51.5
setosa,0,129.9,0,5.68,3.45,1.29,0.36,4.1,40.1
setosa,0,267.0,2,4.68,3.04,1.31,0.3,5.12,49.31
setosa,0,270.3,0,5.46,4.54,1.61,0.15,4.87,52.82
setosa,0,137.5,1,5.35,3.48,1.34,0.26,4.45,49.19
setosa,0,70.8,0,5.19,3.43,1.67,0.42,4.16,46.83
setosa,0,231.1,1,4.88,4.07,1.13,0.28,5.0,47.94
setosa,0,127.9,0,5.2,4.15,1.51,0.36,5.49,47.3
setosa,0,245.7,1,4.71,3.9,2.04,0.23,5.29,46.82
setosa,0,160.7,2,5.13,2.76,1.67,0.35,5.03,50.87
setosa,0,171.3,1,5.26,3.54,1.59,0.45,5.24,61.54
setosa,0,244.5,2,5.35,3.18,1.65,0.32,4.99,46.28
setosa,0,145.6,1,5.68,3.13,1.49,0.27,4.29,48.41
setosa,0,160.8,2,4.92,3.37,1.37,0.24,4.29,49.74
setosa,0,144.0,0,4.76,4.05,1.64,0.3,4.9,46.56
setosa,0,141.8,1,5.17,3.71,1.81,0.52,4.92,55.49
setosa,0,181.5,0,4.78,3.82,1.41,0.49,5.43,38.15
setosa,0,252.2,2,4.73,2.9,1.58,0.28,5.38,47.34
setosa,0,140.4,1,5.3,3.17,1.92,0.2,5.3,54.09
setosa,0,181.1,1,4.7,3.69,1.69,0.19,4.86,48.53
setosa,0,217.7,0,4.69,4.52,1.72,0.24,4.31,45.9
setosa,0,117.4,1,5.4,3.2,1.24,0.18,5.21,52.2
setosa,0,119.4,1,5.4,3.27,1.53,0.37,5.26,54.53
setosa,0,283.4,0,5.14,3.67,0.96,0.44,3.81,51.05
setosa,0,230.9,1,4.37,3.1,1.63,0.22,4.58,45.99
setosa,0,194.3,0,4.82,3.98,1.48,0.33,4.65,52.28
setosa,0,211.9,0,4.86,4.1,1.25,0.44,5.06,47.99
setosa,0,57.3,0,5.47,3.92,1.57,0.39,4.6,53.73
setosa,0,204.5,0,5.03,4.08,1.57,0.5,4.98,57.42
setosa,0,177.4,0,4.57,4.29,1.35,0.4,4.89,36.97
setosa,0,186.4,2,4.96,2.72,1.39,0.2,4.92,50.56
setosa,0,139.9,2,5.03,2.3,1.66,0.16,4.64,41.32
setosa,0,70.4,0,4.76,4.05,1.55,0.14,4.68,62.21
setosa,0,98.3,2,4.89,2.73,1.68,0.22,4.46,47.66
setosa,0,287.7,2,5.44,3.18,1.46,0.23,5.19,53.73
setosa,0,152.2,1,4.99,2.69,1.48,0.33,5.29,49.82
setosa,0,166.7,0,4.54,3.63,1.35,0.25,4.61,45.98
setosa,0,63.2,2,5.02,3.13,1.91,0.35,5.76,45.39
setosa,0,59.4,1,5.3,3.19,1.97,0.34,4.84,57.93
setosa,0,229.3,1,5.24,3.61,1.65,0.39,5.77,54.78
setosa,0,184.5,0,5.41,3.9,1.65,0.32,4.68,59.72
setosa,0,177.2,0,5.49,3.81,1.62,0.27,3.99,50.28
setosa,0,110.8,1,5.11,3.61,1.59,0.23,5.2,51.44
setosa,0,236.2,0,4.86,4.59,1.46,0.33,5.12,48.66
setosa,0,92.1,0,5.27,3.79,1.89,0.37,5.02,48.56
setosa,0,97.5,1,5.12,2.69,1.57,0.19,4.68,44.79
setosa,0,165.2,1,4.73,4.07,1.46,0.41,4.98,50.42
setosa,0,121.6,0,5.37,4.09,1.29,0.19,4.74,46.05
setosa,0,111.9,2,5.62,2.87,1.84,0.24,4.85,52.21
setosa,0,211.3,0,5.13,3.1,1.47,0.44,5.42,50.85
setosa,0,212.7,2,4.72,3.04,1.78,0.35,5.09,51.44
setosa,0,256.1,1,4.76,3.17,1.62,0.37,5.3,58.38
setosa,0,154.4,2,5.08,2.7,1.49,0.3,4.88,49.81
setosa,0,68.3,1,5.7,2.78,1.73,0.08,4.83,53.78
setosa,0,118.4,0,4.82,4.34,1.64,0.18,4.42,60.26
setosa,0,295.0,0,4.94,4.05,1.38,0.4,4.81,56.53
setosa,0,199.1,1,5.27,3.19,1.33,0.13,3.34,55.77
setosa,0,227.4,1,5.39,3.72,1.19,0.24,4.7,48.47
setosa,0,51.8,1,5.12,4.15,1.48,0.28,4.96,51.15
setosa,0,179.6,0,5.21,3.73,1.61,0.3,5.28,43.41
setosa,0,59.4,0,5.2,3.72,1.4,0.37,4.87,52.49
setosa,0,192.3,2,5.16,2.85,1.62,0.27,5.17,51.37
setosa,0,280.2,1,5.22,3.47,1.36,0.08,3.91,50.12
setosa,0,292.1,2,5.66,2.79,1.72,0.05,4.97,55.14
setosa,0,185.1,0,5.08,3.29,1.55,0.17,4.16,43.96
setosa,0,164.6,2,4.89,3.02,1.26,0.43,4.4,58.17
setosa,0,286.3,2,4.98,3.03,1.57,0.33,4.91,54.51
setosa,0,218.4,0,4.98,4.17,1.89,0.38,5.64,49.65
setosa,0,66.2,0,5.47,3.24,1.76,0.45,5.19,49.26
setosa,0,166.4,1,5.02,3.18,1.81,0.21,5.01,52.4
setosa,0,110.1,2,5.39,3.07,1.68,0.27,4.99,57.6
setosa,0,167.5,0,4.8,4.11,1.72,0.35,4.64,50.51
setosa,0,163.9,0,5.12,4.08,1.67,0.21,4.73,50.72
setosa,0,195.5,2,4.86,2.8,1.38,0.38,5.21,50.09
setosa,0,139.2,0,4.88,3.27,1.49,0.35,4.31,58.91
setosa,0,91.1,1,4.91,2.55,1.79,0.29,5.3,48.16
setosa,0,175.9,1,5.46,3.68,1.23,0.21,4.81,49.85
setosa,0,257.6,2,5.29,2.81,1.46,0.44,5.41,57.32
setosa,0,216.0,1,4.41,2.82,1.22,0.46,5.48,50.74
setosa,0,134.6,0,5.8,3.97,1.62,0.56,4.16,55.69
setosa,0,283.9,0,5.13,3.98,1.44,0.43,4.71,45.44
setosa,0,278.1,0,4.64,3.6,1.52,0.26,4.57,48.97
setosa,0,102.3,0,4.91,3.33,1.12,0.35,4.09,57.42
setosa,0,59.9,2,5.58,2.35,1.52,0.32,4.48,46.62
setosa,0,235.3,1,4.56,3.32,1.41,0.44,6.22,49.24
setosa,0,256.9,1,4.93,2.82,1.46,0.29,5.3,51.28
setosa,0,292.0,0,4.33,3.82,1.36,0.42,5.96,45.05
setosa,0,272.5,2,4.95,3.31,1.45,0.32,5.41,47.93
setosa,0,200.1,0,4.95,3.76,1.43,0.27,4.63,50.56
setosa,0,182.5,0,4.66,3.5,1.42,0.35,4.81,50.23
setosa,0,57.0,2,4.85,2.69,1.41,0.4,5.29,56.4
setosa,0,111.7,2,5.17,3.33,1.5,0.36,5.22,57.71
setosa,0,164.9,0,4.58,4.5,1.36,0.29,4.71,45.72
setosa,0,207.1,1,5.15,3.55,1.22,0.28,4.25,50.56
setosa,0,189.3,0,4.94,3.66,1.64,0.4,6.64,53.37
setosa,0,235.7,1,4.76,2.93,1.72,0.49,4.93,57.58
setosa,0,119.9,1,4.94,4.0,1.53,0.51,4.84,53.59
setosa,0,191.2,2,5.11,3.47,1.79,0.22,5.06,51.45
setosa,0,72.0,2,5.06,2.67,1.48,0.27,4.88,53.33
setosa,0,153.4,0,4.92,3.48,1.48,0.19,5.06,53.37
setosa,0,237.5,1,4.98,3.67,1.55,0.18,5.64,45.36
setosa,0,223.4,1,5.34,2.92,1.11,0.33,4.94,50.96
setosa,0,297.7,0,4.7,3.94,1.75,0.38,4.42,57.3
setosa,0,119.5,0,5.45,3.3,1.67,0.32,4.92,48.96
setosa,0,174.5,0,4.86,3.54,1.57,0.16,4.77,50.65
setosa,0,132.4,2,5.67,3.19,1.49,0.39,5.71,48.79
setosa,0,160.2,0,5.25,3.71,1.25,0.3,5.59,38.43
setosa,0,264.2,0,4.98,3.63,1.84,0.38,5.05,50.1
setosa,0,221.1,1,5.16,3.78,1.38,0.29,4.36,51.51
setosa,0,270.6,0,4.26,3.97,1.25,0.18,4.39,47.44
setosa,0,100.9,1,5.35,4.35,1.32,0.12,5.01,44.23
setosa,0,268.3,1,4.9,3.34,1.45,0.36,5.17,45.6
setosa,0,64.9,2,5.39,3.0,1.71,0.26,4.81,53.82
setosa,0,272.1,0,4.9,3.46,1.48,0.4,4.76,59.86
setosa,0,132.3,0,5.3,3.77,1.73,0.24,4.7,56.91
setosa,0,128.6,1,5.2,3.71,1.66,0.36,4.99,43.28
setosa,0,178.0,2,4.93,2.6,1.76,0.19,3.81,54.27
setosa,0,285.2,2,4.68,2.95,1.23,0.2,4.45,46.68
setosa,0,61.9,0,5.16,3.97,1.46,0.39,4.69,47.09
setosa,0,138.1,1,4.87,3.29,1.61,0.16,5.6,47.69
setosa,0,264.1,0,5.44,4.28,1.26,0.37,4.59,53.53
setosa,0,149.0,0,5.32,3.69,1.56,0.5,5.09,54.8
setosa,0,99.8,0,5.1,3.73,1.49,0.29,5.11,49.51
setosa,0,156.2,0,5.04,4.16,1.56,0.36,5.65,49.59
setosa,0,146.4,1,4.33,3.77,1.87,0.2,5.63,52.32
setosa,0,278.9,2,4.52,2.33,1.18,0.28,4.97,52.84
setosa,0,240.5,0,4.73,2.75,1.48,0.46,4.76,55.88
setosa,0,176.3,0,4.34,3.78,1.32,0.32,4.67,43.58
setosa,0,297.1,0,4.95,3.25,1.54,0.32,4.88,50.1
setosa,0,166.3,0,4.87,3.3,1.66,0.27,4.78,44.66
setosa,0,64.6,2,5.21,3.41,1.54,0.2,5.28,49.75
setosa,0,115.6,2,5.78,2.89,1.31,0.17,5.21,48.87
setosa,0,159.0,2,4.71,3.54,1.45,0.31,5.3,49.77
setosa,0,89.2,2,5.98,2.77,1.78,0.22,5.63,46.0
setosa,0,286.9,0,5.31,4.45,1.62,0.4,5.93,42.56
setosa,0,241.7,1,5.01,3.02,1.34,0.22,5.06,39.53
setosa,0,117.1,2,5.1,3.0,2.03,0.28,5.55,49.34
setosa,0,197.7,2,5.3,2.7,1.29,0.13,4.82,47.84
setosa,0,230.4,0,5.27,4.08,1.13,0.5,5.59,46.62
setosa,0,285.3,0,4.45,4.45,1.68,0.34,5.53,56.61
setosa,0,270.4,0,5.32,3.98,1.46,0.31,5.5,45.7
setosa,0,178.8,0,4.71,4.2,1.53,0.58,5.05,57.08
setosa,0,243.7,1,5.46,3.58,1.47,0.33,4.67,58.12
setosa,0,190.5,1,4.71,3.09,1.42,0.34,4.3,40.25
setosa,0,188.2,2,5.64,2.54,1.29,0.13,4.98,50.46
setosa,0,78.7,1,5.36,3.77,1.63,0.32,5.77,48.0
setosa,0,81.5,2,5.13,3.04,1.66,0.15,4.85,35.44
setosa,0,182.4,2,5.03,3.15,1.52,0.32,5.39,42.78
setosa,0,117.2,1,5.38,2.99,1.69,0.5,5.42,53.87
setosa,0,55.3,2,5.14,3.22,1.75,0.22,4.86,60.1
setosa,0,230.7,0,5.03,4.57,1.85,0.35,5.66,54.51
setosa,0,58.1,2,5.5,2.25,1.5,0.34,3.55,51.62
setosa,0,198.8,0,5.34,3.93,1.59,0.3,4.39,49.89
setosa,0,184.8,1,4.9,3.09,1.45,0.21,4.54,58.41
setosa,0,292.2,1,5.55,3.61,1.35,0.39,4.59,60.74
setosa,0,171.1,2,5.28,2.69,1.21,0.31,5.17,47.07
setosa,0,65.9,0,4.88,3.9,1.46,0.32,5.15,40.0
setosa,0,187.9,2,4.53,2.65,1.44,0.24,5.2,39.51
setosa,0,260.3,1,5.55,3.31,1.67,0.32,5.3,56.61
setosa,0,299.2,2,4.39,2.38,1.43,0.31,4.52,49.76
setosa,0,157.6,2,4.7,3.82,1.26,0.27,4.39,50.92
setosa,0,130.1,0,5.74,4.65,1.41,0.35,5.2,41.05
setosa,0,276.7,1,5.23,3.75,1.93,0.34,4.68,46.23
setosa,0,97.8,2,4.92,2.9,1.5,0.23,4.21,48.52
setosa,0,203.9,0,5.14,4.13,1.52,0.31,5.49,51.04
setosa,0,151.4,2,4.49,2.78,1.55,0.37,5.7,48.01
setosa,0,60.3,0,5.21,3.52,1.55,0.15,5.78,44.81
setosa,0,136.8,0,4.86,4.7,1.88,0.37,5.09,46.08
setosa,0,116.3,2,5.27,2.57,1.75,0.4,5.31,56.04
setosa,0,221.5,1,5.57,3.9,1.4,0.45,5.68,51.22
setosa,0,287.2,1,4.98,2.72,1.46,0.16,4.68,53.06
setosa,0,117.0,0,5.04,3.07,1.57,0.37,5.56,45.51
setosa,0,252.9,1,4.42,2.22,1.41,0.24,5.14,35.23
